continent,location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,health_expenditure,private_health_percent,medical_doctors_per10k,nursing_midwifery_per10k,TOTAL_VACCINATIONS_PER100,PERSONS_FULLY_VACCINATED_PER100,cumulative_estimated_daily_excess_deaths
Europe,Spain,11893480.0,104462.0,254432.053,2234.71,,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,2.97,83.56,0.904,2711.0,29.38,44.41,61.44,213.6,78.684,121446.13330241
Asia,Sri Lanka,663408.0,16505.0,30860.053,767.771,,21497306.0,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,3.6,76.98,0.782,160.7,51.42,12.29,24.95,184.196,67.478,36043.9018787322
Africa,Sudan,62117.0,4931.0,1383.164,109.799,,44909351.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,0.8,65.31,0.51,46.93,70.75,2.62,11.46,16.134,8.234,324168.304394031
South America,Suriname,79336.0,1328.0,134059.257,2244.009,26.85,591798.0,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,3.1,71.68,0.738,619.3,27.39,8.19,39.27,94.381,40.502,2268.28660138493
Europe,Sweden,2500917.0,18772.0,246149.396,1847.609,11.11,10160159.0,24.718,41.0,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,2.22,82.8,0.945,5671.0,15.12,70.92,118.5,202.4,71.426,12961.6774335891
Europe,Switzerland,3619598.0,13714.0,415306.12,1573.52,,8715494.0,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,4.53,83.78,0.955,9666.0,67.89,43.8,182.6,186.9,69.646,14330.0398557264
Asia,Tajikistan,17786.0,125.0,1824.275,12.821,,9749625.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,4.8,71.1,0.668,61.87,71.36,17.23,47.53,120.9,51.231,16987.4255612872
Asia,Thailand,4281536.0,28778.0,61207.782,411.403,,69950844.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,2.1,77.15,0.777,296.2,28.23,9.5,31.52,189.582,72.934,110294.26570182
Africa,Togo,36991.0,273.0,4363.051,32.2,,8478242.0,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,0.7,61.04,0.515,51.16,75.81,0.83,5.07,39.75,18.814,12073.1853562157
Oceania,Tonga,10452.0,11.0,97902.753,103.036,81.02,106759.0,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,2.6,70.91,0.725,242.4,13.69,9.46,45.41,148.998,65.369,41.067293196425
North America,Trinidad and Tobago,148630.0,3833.0,105909.045,2731.275,,1403374.0,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,3.0,73.51,0.796,1168.0,53.96,44.76,40.7,110.909,50.816,4921.04843877489
Africa,Tunisia,1040193.0,28550.0,87149.26,2391.971,,11935764.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,233.1,42.5,13.03,25.14,111.071,53.872,35021.447521206
Asia,Turkey,15034917.0,98791.0,176792.489,1161.663,30.56,85042736.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,2.81,77.69,0.82,396.5,22.08,19.28,30.45,174.7,63.754,396655.220971288
Africa,Uganda,164104.0,3597.0,3482.421,76.331,,47123533.0,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,0.5,63.37,0.544,32.41,42.86,1.54,16.37,44.214,22.41,70618.3394293513
Europe,Ukraine,5040518.0,112459.0,115962.423,2587.238,,43466822.0,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,8.8,72.06,0.779,248.1,54.53,29.92,66.61,72.4,34.65,227039.815816547
Asia,United Arab Emirates,899033.0,2302.0,89983.538,230.405,,9991083.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,1.2,77.97,0.89,1843.0,47.7,26.01,57.46,249.72,98.614,10066.3944736732
